LRp0m1_F2_OGLE5_387609  267.683875  -29.870889  13.913  13.508   -60.78    1.42  -0.47
LRp0m1_F2_OGLE5_387871  267.699167  -29.858917  13.579  13.035   -49.32    0.84  -0.54
LRp0m1_F2_OGLE5_387926  267.677917  -29.856528  13.327  12.958  -120.92    0.81   0.22
LRp0m1_F2_OGLE5_393682  267.694042  -29.824556  13.173  12.681  -172.89    0.84  -0.05
LRp0m1_F2_OGLE5_393780  267.667917  -29.813389  13.124  12.579   -61.76    0.95   0.30
LRp0m1_F2_OGLE5_393872  267.716792  -29.805361  13.093  12.519     2.55    0.66  -0.52
LRp0m1_F2_OGLE5_393885  267.681292  -29.804028  13.117  12.563  -260.06    1.18   0.05
LRp0m1_F2_OGLE5_394218  267.689375  -29.774028  13.169  12.654   -67.25    0.97  -0.11
LRp0m1_F2_OGLE5_394391  267.712417  -29.823444  13.255  12.719  -264.74    0.99   0.18
LRp0m1_F2_OGLE5_394914  267.700792  -29.797361  13.272  12.713  -108.09    0.91   0.27
LRp0m1_F2_OGLE5_400739  267.693542  -29.738389  13.264  12.677   -18.34    0.99   0.21
LRp0m1_F2_OGLE5_402011  267.679458  -29.729694  13.460  12.807  -187.80    1.02   0.25
LRp0m1_F2_OGLE5_44408   267.483250  -29.891111  13.162  12.658  -231.91    0.96  -0.07
LRp0m1_F2_OGLE5_45551   267.518583  -29.889083  13.036  12.458  -163.71    1.00   0.15
